"Date of Birth","Date of Birth"
"I agree that the data which are necessary for the liquidation of invoice payments and which are used to complete the identity and credit check are transmitted to payolution. My %s can be revoked at any time with future effect.","I agree that the data which are necessary for the liquidation of invoice payments and which are used to complete the identity and credit check are transmitted to payolution. My %s can be revoked at any time with future effect."
"You have to be 18 years or older to use invoice payments.","You have to be 18 years or older to use invoice payments."
"You have to be 18 years or older to use installment payments.","You have to be 18 years or older to use installment payments."
"Consent","Consent"
"Accept payolution terms","Accept payolution terms"
"payolution terms","payolution terms"
"You will be redirected to our payment service provider Wirecard CEE.","You will be redirected to Wirecard Checkout Page when you place an order."
"Company Trade Registration Number","Company Trade Registration Number"
"An error occurred","An error occurred"
"<a href=""%s"">Continue shopping</a>.","<a href=""%s"">Continue shopping</a>."
"You will be redirected in a few seconds. Thank you for your patience.","You will be redirected in a few seconds. Thank you for your patience."
"You will be redirected to the payment page in a few seconds. If you are not redirected, click the redirect button.","You will be redirected to the payment page in a few seconds. If you are not redirected, click the redirect button."
"Wirecard Checkout Page Transaction ID: %s","Wirecard Checkout Page Transaction ID: %s"
"Payment has not been processed yet.","Payment has not been processed yet."
"Configuration test ok","Configuration test ok"
"An error occurred during the payment process","An error occurred during the payment process"
"Production","Production"
"Test without 3-D Secure","Test without 3-D Secure"
"Test with 3-D Secure","Test with 3-D Secure"
"Customer was redirected to Wirecard Checkout Page.","Customer was redirected to Wirecard Checkout Page."
"Order has been canceled.","Order has been canceled."
"Sorry, your payment has not been confirmed by the financial service provider.","Sorry, your payment has not been confirmed by the financial service provider."
"Your order will be processed as soon as we receive the payment confirmation from your bank.","Your order will be processed as soon as we receive the payment confirmation from you bank."
"The payment has been successfully completed.","The payment has been successfully completed."
"SELECT","Select"
"BANCONTACT_MISTERCASH","Bancontact/Mister Cash"
"CCARD","Credit Card / Maestro SecureCode"
"CCARD-MOTO","Credit Card - Mail Order / Telephone Order"
"EKONTO","eKonto"
"EPAY_BG","ePay.bg"
"EPS","eps Online-Ãœberweisung"
"GIROPAY","giropay"
"IDL","iDEAL"
"INSTALLMENT","Installment"
"INVOICEB2B","Invoice B2B"
"INVOICE","Invoice"
"MAESTRO","Maestro Secure Code"
"MONETA","moneta.ru"
"MPASS","mpass"
"PRZELEWY24',"Przelewy24"
"PAYPAL","PayPal"
"PBX","paybox"
"POLI","POLi"
"PSC","paysafecard"
"QUICK","@Quick"
"SEPA-DD","SEPA Direct Debit"
"SKRILLDIRECT","Skrill Direct"
"SKRILLWALLET","Skrill Digital Wallet"
"SOFORTUEBERWEISUNG","SOFORT Banking"
"TATRAPAY","TatraPay"
"TRUSTLY","Trustly"
"TRUSTPAY","TrustPay"
"VOUCHER","My Voucher"